uid,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
20001,17,61,54,49,72,73,99,102,180,338
20002,0,10,41,50,92,58,106,113,191,385
20003,8,14,33,50,59,99,122,106,179,376
20004,7,136,39,63,86,65,96,100,153,301
20005,643,126,38,33,32,24,26,24,53,46
20006,5,25,35,34,39,36,62,90,215,505
20007,4,135,50,89,54,72,86,90,154,312
20008,7,18,43,73,90,82,119,122,179,313
20009,4,39,79,66,71,81,98,103,176,329
20010,2,12,66,85,76,93,103,101,188,320
20011,5,22,49,56,76,73,104,100,213,348
20012,0,25,56,59,84,87,110,115,188,321
20013,1,129,50,77,95,67,99,91,144,292
20014,16,71,85,74,59,63,103,105,160,309
20015,2,58,103,68,88,85,87,78,140,337
20016,12,86,52,61,63,61,107,110,173,320
20017,18,30,40,74,72,71,108,104,160,368
20018,37,177,70,64,63,57,79,90,131,277
20019,5,25,34,43,64,80,121,124,196,354
20020,1,6,36,47,68,69,105,130,207,377
20021,13,29,54,61,62,81,111,121,200,313
20022,0,15,32,39,69,93,127,120,204,346
20023,11,23,58,74,76,86,103,100,151,363
20024,0,1,28,39,59,87,161,138,193,339
20025,0,0,16,35,47,78,95,127,240,407
20026,127,31,76,74,73,64,83,66,153,298
20027,46,69,67,68,60,80,86,94,161,314
20028,0,7,16,43,77,97,118,107,176,405
20029,0,22,41,60,69,98,114,114,184,343
20030,0,9,39,60,87,109,112,124,199,307
20031,10,132,27,57,43,61,82,105,186,343
20032,2,15,53,66,73,71,123,87,187,369
20033,25,74,83,66,52,61,95,91,163,335
20034,0,1,9,35,63,95,160,142,183,358
20035,1,18,23,29,44,61,126,144,214,385
20036,0,9,24,21,39,72,124,134,199,424
20037,0,6,36,41,66,73,101,158,229,336
20038,5,42,55,68,58,73,134,115,178,318
20039,9,34,31,42,59,70,121,132,193,355
20040,43,72,73,67,65,60,88,90,155,332
20041,44,115,80,60,70,55,101,69,137,314
20042,0,8,30,71,51,84,129,127,210,336
20043,9,168,51,59,68,59,93,98,145,296
20044,0,19,51,41,55,54,55,71,237,462
20045,5,22,70,87,84,86,108,94,180,310
20046,8,166,69,63,81,56,81,79,148,295
20047,18,82,76,53,41,44,78,90,204,359
20048,30,59,69,57,89,84,109,95,150,303
20049,0,4,35,56,78,82,109,112,213,357
20050,34,55,58,54,62,65,100,112,154,351
20051,1,45,58,83,84,82,100,96,167,329
20052,3,19,58,58,76,75,114,135,182,326
20053,36,19,65,61,73,101,123,90,155,322
20054,119,10,32,63,83,73,100,92,169,305
20055,9,17,35,53,72,96,133,117,192,322
20056,72,60,56,64,66,59,96,91,149,332
20057,26,60,33,55,47,64,98,96,195,371
20058,39,23,41,49,75,68,75,92,177,406
20059,197,25,61,52,63,59,78,72,156,282
20060,0,32,22,47,62,76,103,118,203,382
20061,0,10,45,41,55,57,101,119,208,410
20062,4,34,50,53,88,56,122,132,192,315
20063,12,29,51,58,65,88,104,98,181,359
20064,4,23,41,43,45,57,94,113,183,443
20065,27,54,79,75,64,81,86,82,158,339
20066,38,79,87,75,43,61,95,83,151,333
20067,118,29,55,74,92,69,90,80,142,296
20068,14,162,64,54,64,69,84,77,164,293
