uid,n_null,discret_null
20001,40,40
20002,50,50
20003,42,42
20004,180,180
20005,826,826
20006,39,39
20007,177,177
20008,46,46
20009,47,47
20010,56,56
20011,32,32
20012,58,58
20013,180,180
20014,61,61
20015,69,69
20016,49,49
20017,41,41
20018,171,171
20019,46,46
20020,34,34
20021,53,53
20022,41,41
20023,58,58
20024,28,28
20025,40,40
20026,169,169
20027,54,54
20028,39,39
20029,28,28
20030,39,39
20031,151,151
20032,44,44
20033,54,54
20034,41,41
20035,40,40
20036,29,29
20037,45,45
20038,47,47
20039,54,54
20040,68,68
20041,59,59
20042,45,45
20043,169,169
20044,53,53
20045,57,57
20046,166,166
20047,52,52
20048,58,58
20049,66,66
20050,41,41
20051,50,50
20052,63,63
20053,51,51
20054,152,152
20055,50,50
20056,52,52
20057,52,52
20058,72,72
20059,247,247
20060,45,45
20061,57,57
20062,70,70
20063,48,48
20064,34,34
20065,40,40
20066,43,43
20067,168,168
20068,162,162
20069,58,58
20070,52,52
20071,79,79
20072,46,46
20073,173,173
20074,37,37
20075,54,54
20076,42,42
20077,65,65
20078,70,70
20079,48,48
20080,34,34
20081,40,40
20082,33,33
20083,35,35
20084,175,175
20085,60,60
20086,1043,1043
20087,38,38
20088,59,59
20089,217,217
20090,36,36
20091,60,60
20092,172,172
20093,58,58
20094,177,177
20095,54,54
20096,71,71
20097,125,125
20098,50,50
20099,163,163
20100,44,44
20101,28,28
20102,43,43
20103,52,52
20104,66,66
20105,63,63
20106,72,72
20107,103,103
20108,52,52
20109,148,148
20110,58,58
20111,62,62
20112,49,49
20113,172,172
20114,50,50
20115,32,32
20116,165,165
20117,25,25
20118,44,44
20119,29,29
20120,54,54
20121,26,26
20122,58,58
20123,71,71
20124,162,162
20125,43,43
20126,59,59
20127,63,63
20128,26,26
20129,185,185
20130,186,186
20131,49,49
20132,64,64
20133,41,41
20134,57,57
20135,47,47
20136,29,29
20137,1046,1046
20138,64,64
20139,1023,1023
20140,62,62
20141,44,44
20142,51,51
20143,53,53
20144,41,41
20145,120,120
20146,184,184
20147,159,159
20148,74,74
20149,51,51
20150,48,48
20151,55,55
20152,50,50
20153,39,39
20154,180,180
20155,63,63
20156,44,44
20157,53,53
20158,49,49
20159,39,39
20160,46,46
20161,172,172
20162,151,151
20163,46,46
20164,76,76
20165,150,150
20166,46,46
20167,57,57
20168,72,72
20169,713,713
20170,59,59
20171,52,52
20172,64,64
20173,47,47
20174,45,45
20175,52,52
20176,67,67
20177,44,44
20178,121,121
20179,147,147
20180,54,54
20181,38,38
20182,38,38
20183,52,52
20184,168,168
20185,238,238
20186,183,183
20187,45,45
20188,34,34
20189,47,47
20190,49,49
20191,61,61
20192,42,42
20193,48,48
20194,183,183
20195,38,38
20196,52,52
20197,37,37
20198,45,45
20199,159,159
20200,39,39
20201,47,47
20202,68,68
20203,48,48
20204,51,51
20205,41,41
20206,1035,1035
20207,60,60
20208,60,60
20209,242,242
20210,53,53
20211,43,43
20212,52,52
20213,42,42
20214,167,167
20215,57,57
20216,57,57
20217,43,43
20218,58,58
20219,55,55
20220,41,41
20221,57,57
20222,47,47
20223,49,49
20224,66,66
20225,153,153
20226,54,54
20227,51,51
20228,1021,1021
20229,64,64
20230,62,62
20231,50,50
20232,168,168
20233,165,165
20234,62,62
20235,52,52
20236,164,164
20237,70,70
20238,41,41
20239,685,685
20240,62,62
20241,130,130
20242,186,186
20243,72,72
20244,181,181
20245,45,45
20246,59,59
20247,56,56
20248,46,46
20249,49,49
20250,39,39
20251,51,51
20252,57,57
20253,40,40
20254,62,62
20255,45,45
20256,62,62
20257,56,56
20258,185,185
20259,68,68
20260,46,46
20261,49,49
20262,40,40
20263,29,29
20264,167,167
20265,62,62
20266,46,46
20267,59,59
20268,33,33
20269,56,56
20270,55,55
20271,51,51
20272,51,51
20273,49,49
20274,57,57
20275,42,42
20276,57,57
20277,35,35
