uid,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
1792,0,10,45,40,63,63,113,155,207,350
4211,35,37,34,155,62,64,69,139,165,285
14658,56,51,61,156,77,67,76,106,154,241
17041,70,49,54,152,79,74,59,108,137,263
15765,4,21,34,48,53,38,65,105,213,465
6638,25,36,52,63,90,90,99,133,162,295
1649,31,56,61,62,69,88,89,129,167,293
5709,49,50,76,152,81,59,67,109,150,252
4749,18,53,38,38,55,81,124,134,182,322
7702,7,22,46,55,91,84,94,129,212,306
7456,12,38,57,68,73,85,108,138,180,286
4356,42,65,52,41,71,107,91,132,173,271
15094,7,36,35,139,50,74,114,130,166,295
16423,4,35,49,45,68,82,91,122,181,369
11970,35,57,56,155,80,78,79,93,152,260
13011,32,78,67,178,97,76,58,91,130,238
16849,10,7,46,170,76,63,86,112,181,296
9058,5,17,42,50,55,57,92,115,224,389
14323,2,17,40,66,72,85,105,140,200,319
5819,69,44,55,162,77,73,68,112,161,224
3595,34,57,56,64,93,88,94,120,159,280
14420,10,34,38,36,65,66,103,147,192,355
18082,41,46,63,156,109,71,73,101,147,238
8906,96,65,45,161,83,54,65,88,144,244
16752,10,39,49,153,68,65,85,128,184,265
14053,10,29,50,38,79,74,95,151,206,314
18994,6,31,53,161,83,75,86,133,173,245
12846,66,52,61,51,78,81,95,107,165,289
1495,48,50,40,33,70,77,71,104,208,344
5063,9,13,30,34,63,84,101,166,225,321
19456,5,23,42,45,75,98,91,157,199,311
4340,9,13,37,47,65,81,99,143,219,333
19146,19,31,54,46,88,77,95,133,215,287
10021,61,47,55,60,65,62,70,141,171,313
12994,41,54,66,176,94,64,80,98,125,247
18933,114,58,44,42,66,63,88,117,146,307
19739,62,81,59,170,93,79,55,89,113,244
18329,41,42,25,35,49,52,79,113,193,416
18724,24,46,46,65,88,86,76,123,184,307
10547,35,36,46,48,83,74,76,143,190,314
6338,29,49,63,56,95,75,102,135,155,286
8457,24,74,66,163,72,61,81,95,163,246
858,13,68,82,174,86,78,89,94,131,230
2580,12,27,29,38,83,63,63,123,193,414
1533,55,54,32,45,64,87,94,115,164,335
1565,29,34,40,29,77,79,109,136,195,317
11623,3,22,34,35,48,66,104,140,222,372
10857,17,39,61,50,92,92,86,139,167,302
9691,29,44,79,63,97,81,78,118,182,274
18520,8,20,37,156,76,64,80,133,177,295
17390,29,50,44,56,61,76,83,122,175,349
15930,32,29,53,165,68,82,77,105,147,287
6418,11,34,43,36,94,85,121,148,179,294
8485,13,18,49,48,76,87,124,168,188,274
7407,43,44,61,57,73,81,105,124,160,297
17837,10,20,37,49,47,102,105,149,209,318
18572,59,44,55,163,72,55,64,103,145,285
12310,10,32,50,53,87,75,77,125,190,347
2752,47,38,56,44,72,85,84,125,168,326
5068,13,46,52,64,71,93,101,113,171,321
5952,13,23,45,34,43,60,70,150,239,368
8147,35,42,40,41,102,73,97,138,197,280
5510,34,72,84,167,77,72,48,103,151,237
12481,7,34,46,151,74,58,81,106,179,310
455,11,20,40,163,67,81,93,119,185,266
6550,14,42,70,164,97,75,71,115,147,250
12289,6,24,27,29,72,115,113,127,190,343
8356,54,63,64,55,93,69,83,141,157,266
11317,9,25,55,152,80,85,68,131,167,274
10586,6,30,54,57,86,113,113,152,169,266
19239,4,27,37,51,66,68,75,96,169,453
16891,18,58,53,149,59,57,69,106,176,300
5071,22,32,22,38,73,72,71,128,219,368
1513,30,60,79,55,75,85,81,125,177,278
8852,50,49,58,168,79,69,67,102,146,257
31,160,54,59,44,60,62,73,104,143,286
6691,19,41,43,150,71,82,82,117,178,262
7452,3,14,49,72,95,104,125,137,185,262
9654,22,60,53,49,99,77,110,121,172,282
12010,18,53,50,168,79,81,86,109,151,250
9731,14,29,48,167,102,79,87,85,162,272
10938,13,53,74,71,101,95,87,117,158,276
13004,13,35,51,47,96,103,100,139,179,282
18726,13,32,52,29,48,42,73,124,226,406
7996,37,70,52,51,89,80,76,121,182,287
16360,25,23,58,61,72,82,106,139,191,288
10620,3,5,22,47,70,92,96,121,195,396
8776,5,36,51,33,59,74,65,133,231,359
19538,3,24,34,47,82,100,97,147,202,310
16652,99,32,57,43,91,74,92,111,161,285
10913,39,25,70,70,83,77,106,112,170,293
15901,48,69,58,157,72,73,61,91,132,284
10891,13,34,42,49,66,76,71,124,212,358
19770,36,35,42,29,60,62,92,115,168,406
15515,10,21,36,37,69,70,73,132,212,386
15757,16,27,34,42,75,75,111,133,180,352
2387,20,62,73,152,94,62,75,104,150,253
7761,24,26,61,41,69,77,106,146,169,326
13111,87,47,66,165,83,65,67,99,138,228
14062,13,29,36,41,26,33,67,95,204,501
5036,17,15,42,49,71,91,86,153,196,325
2663,4,10,23,149,69,75,62,113,203,339
7935,15,15,74,47,80,91,101,131,204,287
5630,18,71,90,164,104,82,68,93,134,221
14950,12,22,35,37,60,56,77,118,180,448
16032,46,48,51,175,87,75,78,92,134,259
16216,25,44,73,64,85,99,84,132,157,282
13931,122,80,64,148,72,57,58,72,124,248
14558,86,59,62,62,84,83,82,101,162,264
6397,36,61,65,66,62,75,89,119,179,293
15271,30,40,33,35,53,48,84,129,207,386
5488,9,25,39,39,46,71,108,126,189,394
6757,30,37,55,64,85,90,95,111,178,300
13607,52,60,51,46,83,74,84,132,156,307
18701,14,31,49,49,67,62,90,118,166,399
18733,23,58,74,54,73,101,99,135,168,260
14038,28,43,40,40,72,74,69,117,170,392
16711,26,62,68,66,82,78,69,108,184,302
14277,15,25,27,34,46,57,85,138,186,432
15000,7,28,41,46,66,92,102,126,202,336
241,8,27,42,152,87,101,113,120,152,244
1051,57,62,86,49,94,95,73,111,146,272
3241,32,30,30,26,55,62,63,99,189,459
13721,20,28,26,165,68,93,95,134,159,257
8359,13,41,64,49,92,56,114,138,197,281
15836,72,35,33,40,67,71,70,112,204,341
16195,25,38,41,33,61,91,95,138,205,318
10145,62,79,93,154,75,59,58,83,121,261
9591,6,29,49,49,71,76,104,114,184,364
1530,6,16,26,38,59,63,109,131,222,376
18882,39,42,40,28,36,48,94,112,228,378
19924,3,9,42,69,102,93,109,142,178,300
18696,13,49,47,44,95,84,118,134,168,293
14232,80,81,72,40,77,84,53,88,155,315
1514,63,55,72,162,94,71,76,93,134,225
13743,6,21,41,62,76,83,110,161,193,293
5821,43,61,70,55,87,79,87,117,174,272
18835,28,36,55,160,91,80,86,89,164,256
4376,12,39,49,40,92,96,99,108,167,343
19088,15,53,58,50,59,59,60,103,199,389
8590,5,27,42,45,74,99,99,144,191,320
4673,10,20,33,45,67,76,101,135,211,348
9607,70,68,53,52,83,87,76,117,148,291
8572,11,31,30,34,56,60,76,120,192,435
848,26,47,53,37,86,75,111,165,168,277
11470,14,31,40,36,49,61,70,129,229,386
18378,5,19,53,41,75,102,110,164,187,290
19668,6,29,69,55,90,91,72,127,220,287
9768,10,21,43,148,54,70,81,119,165,335
17572,13,37,60,163,87,81,70,131,154,249
12040,25,16,42,35,62,70,103,143,223,326
18588,48,47,46,26,44,47,71,122,210,384
9032,27,49,58,64,73,72,71,123,197,311
2561,16,20,24,154,65,83,102,134,159,288
3896,1,27,25,40,44,75,92,140,239,362
19572,14,23,28,28,55,57,74,87,200,479
2990,13,28,39,41,63,67,84,156,203,351
13708,27,62,65,54,79,90,108,111,156,293
11665,19,23,52,68,93,115,111,129,158,277
11582,7,39,59,41,71,85,91,154,190,309
2782,42,51,54,156,69,74,80,105,135,279
13169,22,39,48,144,56,75,100,109,147,305
6537,21,39,41,158,84,103,111,116,135,237
10741,25,56,64,54,84,84,93,126,172,287
19407,34,40,50,142,51,68,68,92,178,322
1605,38,59,62,171,89,65,77,97,156,231
10493,28,30,47,47,85,78,87,143,194,306
7885,25,19,60,48,65,60,85,129,214,340
15088,14,20,22,29,49,91,111,126,211,372
19477,35,48,76,58,75,68,58,99,181,347
15914,5,10,42,28,78,101,127,131,192,333
11259,11,18,28,31,63,50,76,128,208,432
1361,11,31,49,50,83,98,110,152,186,275
3722,19,22,48,45,62,89,94,125,216,325
16285,55,27,39,46,72,82,98,131,189,306
9831,9,26,49,58,78,82,109,135,184,316
11081,58,48,52,56,87,74,87,132,164,287
14580,6,31,62,58,105,87,91,118,182,306
8056,60,18,37,53,80,91,109,130,166,301
18402,8,19,36,44,86,106,130,135,183,299
6304,11,24,44,51,62,56,83,137,219,358
17065,26,24,29,38,45,44,72,130,195,442
4988,29,23,50,155,77,62,95,147,165,242
2028,9,29,32,28,63,59,88,155,225,358
18090,12,21,62,64,97,84,83,109,177,336
15769,67,59,48,166,70,62,66,105,150,252
18252,16,44,37,43,61,79,92,110,195,368
13358,1,17,36,42,59,75,96,150,194,375
