uid,n_null,discret_null
1792,44,44
4211,156,156
14658,175,175
17041,165,165
15765,45,45
6638,53,53
1649,45,45
5709,178,178
4749,41,41
7702,59,59
7456,52,52
4356,44,44
15094,157,157
16423,42,42
11970,160,160
13011,181,181
16849,174,174
9058,61,61
14323,41,41
5819,158,158
3595,51,51
14420,48,48
18082,177,177
8906,168,168
16752,175,175
14053,59,59
18994,162,162
12846,51,51
1495,41,41
5063,46,46
19456,34,34
4340,64,64
19146,54,54
10021,63,63
12994,171,171
18933,50,50
19739,165,165
18329,43,43
18724,40,40
10547,56,56
6338,60,60
8457,173,173
858,163,163
2580,49,49
1533,45,45
1565,45,45
11623,45,45
10857,62,62
9691,62,62
18520,159,159
17390,27,27
15930,176,176
6418,43,43
8485,46,46
7407,62,62
17837,36,36
18572,164,164
12310,55,55
2752,30,30
5068,38,38
5952,53,53
8147,56,56
5510,183,183
12481,162,162
455,162,162
6550,159,159
12289,48,48
8356,64,64
11317,177,177
10586,39,39
19239,40,40
16891,157,157
5071,46,46
1513,59,59
8852,178,178
31,58,58
6691,160,160
7452,56,56
9654,50,50
12010,155,155
9731,158,158
10938,48,48
13004,48,48
18726,73,73
7996,41,41
16360,65,65
10620,51,51
8776,48,48
19538,38,38
16652,108,108
10913,45,45
15901,155,155
10891,51,51
19770,60,60
15515,36,36
15757,30,30
2387,173,173
7761,56,56
13111,174,174
14062,40,40
5036,57,57
2663,162,162
7935,68,68
5630,169,169
14950,21,21
16032,168,168
16216,63,63
13931,174,174
14558,64,64
6397,45,45
15271,48,48
5488,45,45
6757,47,47
13607,42,42
18701,46,46
18733,47,47
14038,43,43
16711,36,36
14277,24,24
15000,46,46
241,155,155
1051,56,56
3241,42,42
13721,164,164
8359,42,42
15836,56,56
16195,62,62
10145,180,180
9591,34,34
1530,45,45
18882,48,48
19924,43,43
18696,44,44
14232,54,54
1514,170,170
13743,33,33
5821,60,60
18835,174,174
4376,63,63
19088,39,39
8590,47,47
4673,44,44
9607,45,45
8572,37,37
848,44,44
11470,54,54
18378,60,60
19668,38,38
9768,152,152
17572,178,178
12040,48,48
18588,55,55
9032,39,39
2561,147,147
3896,35,35
19572,35,35
2990,40,40
13708,47,47
11665,45,45
11582,53,53
2782,164,164
13169,171,171
6537,166,166
10741,51,51
19407,158,158
1605,165,165
